"_id__$oid","Recording_Datetime","Wedstrijd","punten","ScoreAjax","ScoreTegen","Competition","Topper","PuntenLatenLiggen","thuis_uit","ExerciseName","daysBeforeMatch","daysAfterMatch","nextMatch","previousMatch"
"574453b776d973e538b51400","2011-08-07 14:34:28.000","De Graafschap - Ajax","3","4","1","Eredivisie","0","0","0","Whole dataset","0","0","De Graafschap - Ajax","De Graafschap - Ajax"
"574453b776d973e538b51401","2011-08-14 14:35:02.000","Ajax - sc Heerenveen","3","5","1","Eredivisie","0","0","1","Whole dataset","0","0","Ajax - Heerenveen","Ajax - Heerenveen"
"574453b776d973e538b51402","2011-08-21 14:32:06.000","VVV-Venlo - Ajax","1","2","2","Eredivisie","0","1","0","Whole dataset","0","0","VVV-Venlo - Ajax","VVV-Venlo - Ajax"
"574453b776d973e538b51403","2011-07-30 20:05:19.000","FC Twente - Ajax","0","1","2","Johan Cruijff Schaal","1","1","0","Whole dataset","0","0","FC Twente - Ajax","FC Twente - Ajax"
"574453b776d973e538b51404","2011-08-26 20:05:14.000","Ajax - Vitesse","3","4","1","Eredivisie","0","0","1","Whole dataset","0","0","Ajax - Vitesse","Ajax - Vitesse"
"574453b776d973e538b51405","2011-09-14 20:49:01.000","Ajax - Olympique Lyon","1","0","0","Champions League","1","1","1","Whole dataset","0","0","Ajax - Olympique Lyon","Ajax - Olympique Lyon"
"574453b776d973e538b51406","2011-09-18 12:37:24.000","PSV - Ajax","1","2","2","Eredivisie","1","1","0","Whole dataset","0","0","PSV - Ajax","PSV - Ajax"
"574453b776d973e538b51407","2011-09-24 20:49:41.000","Ajax - FC Twente","1","1","1","Eredivisie","1","1","1","Whole dataset","0","0","Ajax - FC Twente","Ajax - FC Twente"
"574453b776d973e538b51408","2011-09-10 20:48:28.000","Heracles Almelo - Ajax","3","2","3","Eredivisie","0","0","0","Whole dataset","0","0","Heracles Almelo - Ajax","Heracles Almelo - Ajax"
"574453b776d973e538b51409","2011-10-02 14:34:35.000","FC Groningen - Ajax","0","0","1","Eredivisie","0","1","0","Whole dataset","0","0","Groningen - Ajax","Groningen - Ajax"
"574453b776d973e538b5140a","2011-10-23 12:34:18.000","Ajax - Feyenoord","1","1","1","Eredivisie","1","1","1","Whole dataset","0","0","Ajax - Feyenoord","Ajax - Feyenoord"
"574453b776d973e538b5140b","2011-10-15 18:48:54.000","Ajax - AZ","1","2","2","Eredivisie","1","1","1","Whole dataset","0","0","Ajax - AZ","Ajax - AZ"
"574453b776d973e538b5140c","2011-10-26 20:48:54.000","Roda JC - Ajax","3","4","2","KNVB Beker","0","0","0","Whole dataset","0","0","Roda JC - Ajax","Roda JC - Ajax"
"574453b776d973e538b5140d","2011-10-29 18:49:49.000","Roda JC - Ajax","3","4","0","Eredivisie","0","0","0","Whole dataset","0","0","Roda JC - Ajax","Roda JC - Ajax"
"574453b776d973e538b5140e","2011-11-02 20:46:45.000","Ajax - Dynamo Zagreb","3","4","0","Champions League","1","0","1","Whole dataset","0","0","Ajax - Dynamo Zagreb","Ajax - Dynamo Zagreb"
"574453b776d973e538b5140f","2011-11-06 12:34:42.000","FC Utrecht - Ajax","0","4","6","Eredivisie","1","1","0","Whole dataset","0","0","FC Utrecht - Ajax","FC Utrecht - Ajax"
"574453b776d973e538b51410","2011-11-19 20:47:43.000","Ajax - NAC","1","2","2","Eredivisie","0","1","1","Whole dataset","0","0","Ajax - NAC","Ajax - NAC"
"574453b776d973e538b51411","2011-11-27 14:32:14.000","NEC - Ajax","3","3","0","Eredivisie","0","0","0","Whole dataset","0","0","NEC - Ajax","NEC - Ajax"
"574453b776d973e538b51412","2011-11-27 14:32:14.000","NEC - Ajax","3","3","0","Eredivisie","0","0","0","Whole dataset","0","0","NEC - Ajax","NEC - Ajax"
"574453b776d973e538b51413","2011-12-03 20:46:51.000","Ajax - Excelsior","3","4","1","Eredivisie","0","0","1","Whole dataset","0","0","Ajax - Excelsior","Ajax - Excelsior"
"574453b776d973e538b51414","2011-12-07 20:47:13.000","Ajax - Real Madrid","0","0","3","Champions League","1","1","1","Whole dataset","0","0","Ajax - Real Madrid","Ajax - Real Madrid"
"574453b776d973e538b51415","2011-12-11 14:32:54.000","RKC Waalwijk - Ajax","3","1","0","Eredivisie","0","0","0","Whole dataset","0","0","RKC Waalwijk - Ajax","RKC Waalwijk - Ajax"
